run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
26886,TC,GD,5,5,0.907633,0.667148,0.245414,1,3,140,140,54,140
26887,TC,GD,7,5,0.957964,0.692204,0.267634,14,4,247,247,54,1070
26888,TC,GD,5,10,0.852877,0.534019,0.103295,12,4,4,0,59,20
26889,TC,GD,5,10,0.820025,0.54489,0.294379,8,3,227,227,54,2310
26890,TC,GD,5,15,0.804603,0.504632,0.18601,2,4,52,52,54,150
26891,TC,GD,3,20,0.838485,0.449161,0.270014,13,3,228,0,77,2960
26892,TC,GD,7,15,0.857237,0.478041,0.276431,11,4,177,177,54,2055
26893,TC,GD,7,10,0.909495,0.612466,0.192097,4,2,38,0,65,370
26894,TC,GD,7,5,0.801406,0.455556,0.176457,10,4,36,36,54,640
26895,TC,GD,3,10,0.82057,0.577508,0.110708,4,2,7,0,58,120
26896,TC,GD,7,10,0.926364,0.699813,0.183868,4,2,41,0,63,340
26897,TC,GD,5,20,0.995297,0.624787,0.123755,15,3,21,0,62,160
26898,TC,GD,5,10,0.99452,0.686461,0.210453,5,2,64,0,63,480
26899,TC,GD,7,10,0.820116,0.500443,0.243429,4,4,105,105,54,470
26900,TC,GD,7,15,0.97147,0.666027,0.288588,6,4,275,275,54,1230
26901,TC,GD,3,5,0.839953,0.427664,0.188225,2,4,78,78,54,50
26902,TC,GD,5,20,0.922209,0.67714,0.145905,1,3,16,0,64,160
26903,TC,GD,5,10,0.975209,0.668388,0.188193,2,2,44,0,61,330
26904,TC,GD,3,5,0.914519,0.49049,0.161565,11,3,15,15,54,960
26905,TC,GD,5,5,0.900277,0.547599,0.213393,8,4,63,63,54,490
26906,TC,GD,3,5,0.843186,0.687264,0.251908,6,2,140,140,54,945
26907,TC,GD,3,10,0.909655,0.423286,0.248979,5,4,169,169,54,530
26908,TC,GD,5,15,0.914892,0.619612,0.209345,6,4,67,67,54,825
26909,TC,GD,3,15,0.981928,0.562517,0.212135,5,3,79,79,54,660
26910,TC,GD,5,5,0.847272,0.488627,0.163082,7,4,27,27,54,300
26911,TC,GD,7,15,0.945872,0.605292,0.116708,9,2,8,0,56,135
26912,TC,GD,7,10,0.960143,0.528319,0.212757,5,3,55,0,70,550
26913,TC,GD,5,5,0.957708,0.687837,0.283123,12,3,267,267,54,1965
26914,TC,GD,7,20,0.897083,0.698698,0.228511,1,3,89,55,56,440
26915,TC,GD,7,15,0.982821,0.600283,0.102951,10,3,4,0,58,75
26916,TC,GD,5,10,0.924606,0.642797,0.137859,8,4,7,7,54,460
26917,TC,GD,5,10,0.866183,0.582041,0.195786,4,3,59,59,54,410
26918,TC,GD,7,10,0.985858,0.445372,0.257084,5,4,140,140,54,640
26919,TC,GD,7,20,0.964911,0.654631,0.225883,13,4,101,0,93,2340
26920,TC,GD,7,10,0.888,0.559072,0.142034,12,2,8,0,58,120
26921,TC,GD,7,15,0.958411,0.557335,0.174084,13,2,28,0,67,360
26922,TC,GD,7,10,0.842692,0.644,0.135696,15,4,3,0,59,40
26923,TC,GD,5,10,0.810916,0.419046,0.243219,8,2,101,0,74,1190
26924,TC,GD,5,5,0.936482,0.543408,0.208796,15,4,37,37,54,1005
26925,TC,GD,3,10,0.973434,0.411942,0.269216,2,2,163,128,58,720
26926,TC,GD,7,20,0.815961,0.524602,0.277917,9,3,212,0,69,1220
26927,TC,GD,7,15,0.924581,0.656826,0.143355,7,3,9,0,58,90
26928,TC,GD,5,15,0.905324,0.52984,0.198791,3,2,83,0,64,720
26929,TC,GD,3,15,0.845578,0.681068,0.211358,7,4,92,92,54,945
26930,TC,GD,5,15,0.924273,0.652505,0.130467,11,3,10,0,57,120
26931,TC,GD,7,15,0.828409,0.607359,0.233612,15,3,99,0,77,855
26932,TC,GD,7,5,0.833214,0.456552,0.276332,15,2,170,0,86,2615
26933,TC,GD,7,10,0.961446,0.598299,0.158216,4,3,26,0,60,150
26934,TC,GD,7,10,0.992157,0.530679,0.143156,14,2,19,0,62,200
26935,TC,GD,5,10,0.895675,0.477515,0.255647,10,4,135,135,54,1340
26936,TC,GD,7,10,0.814552,0.623672,0.142586,13,4,13,13,54,1350
26937,TC,GD,3,10,0.934539,0.43718,0.172931,1,3,37,37,54,130
26938,TC,GD,5,10,0.958977,0.556287,0.183567,12,3,41,0,63,180
26939,TC,GD,7,10,0.886795,0.608327,0.131569,2,2,14,0,59,110
26940,TC,GD,7,15,0.897326,0.589878,0.168278,7,4,42,42,54,765
26941,TC,GD,5,20,0.991783,0.602444,0.272509,14,4,107,0,104,2740
26942,TC,GD,5,20,0.875144,0.421071,0.222323,8,4,81,81,54,1340
26943,TC,GD,7,5,0.835468,0.550329,0.226696,4,2,71,71,54,435
26944,TC,GD,5,20,0.969479,0.502555,0.230144,2,2,113,33,58,920
26945,TC,GD,7,15,0.918226,0.641879,0.179263,4,4,24,24,54,180
26946,TC,GD,7,5,0.84703,0.599041,0.170383,6,4,33,33,54,300
26947,TC,GD,5,10,0.857782,0.453785,0.128825,9,4,8,0,59,0
26948,TC,GD,7,20,0.807722,0.660657,0.19101,9,4,51,51,54,1640
26949,TC,GD,3,10,0.871128,0.670727,0.169987,7,2,32,0,59,230
26950,TC,GD,7,15,0.950102,0.454802,0.229451,1,3,84,65,55,405
26951,TC,GD,3,10,0.898904,0.615734,0.18848,8,2,39,0,78,950
26952,TC,GD,5,20,0.958287,0.573686,0.21858,3,3,70,0,63,580
26953,TC,GD,5,20,0.956408,0.574818,0.281733,11,4,226,226,54,2860
26954,TC,GD,3,15,0.96228,0.567115,0.284151,2,4,284,284,54,315
26955,TC,GD,7,15,0.831378,0.432733,0.195239,8,3,57,57,54,1650
26956,TC,GD,3,20,0.891815,0.567811,0.142753,6,2,16,0,60,280
26957,TC,GD,7,10,0.959111,0.483343,0.196786,13,3,37,24,91,3120
26958,TC,GD,3,5,0.927994,0.415039,0.1869,10,4,24,24,54,495
26959,TC,GD,7,15,0.986314,0.450795,0.152535,9,2,32,0,62,360
26960,TC,GD,7,10,0.827079,0.675096,0.10574,13,2,5,0,59,80
26961,TC,GD,5,5,0.957624,0.540247,0.222494,10,3,66,66,54,1105
26962,TC,GD,5,15,0.848435,0.454106,0.291829,15,3,220,0,77,1665
26963,TC,GD,5,15,0.867918,0.584661,0.244421,9,4,125,125,54,1815
26964,TC,GD,7,5,0.920036,0.499034,0.205837,13,2,58,0,89,1770
26965,TC,GD,7,5,0.819127,0.635208,0.287941,2,3,268,268,54,200
26966,TC,GD,7,15,0.812594,0.406138,0.227983,7,2,119,0,73,1305
26967,TC,GD,5,20,0.939894,0.685084,0.245245,9,3,135,0,66,920
26968,TC,GD,7,10,0.935623,0.656577,0.260129,9,2,146,0,70,1030
26969,TC,GD,5,10,0.860672,0.624344,0.156804,6,3,24,0,64,140
26970,TC,GD,5,15,0.994793,0.654356,0.201542,3,2,72,0,65,525
26971,TC,GD,7,15,0.938036,0.607481,0.205426,2,4,48,48,54,195
26972,TC,GD,3,15,0.985563,0.642546,0.273714,12,2,210,0,69,1140
26973,TC,GD,7,10,0.862002,0.624698,0.223201,2,2,84,0,62,500
26974,TC,GD,3,5,0.923105,0.653905,0.299896,11,3,323,323,54,1820
26975,TC,GD,5,15,0.903977,0.658396,0.282186,15,4,218,116,96,3030
26976,TC,GD,7,10,0.881962,0.559496,0.253552,7,2,123,0,72,1010
26977,TC,GD,7,5,0.996862,0.418689,0.233508,12,2,109,0,75,1035
26978,TC,GD,7,5,0.838199,0.657974,0.219696,14,2,71,0,70,360
26979,TC,GD,3,5,0.855374,0.561046,0.273618,10,3,293,293,54,1625
26980,TC,GD,5,5,0.953942,0.679364,0.264813,5,2,155,31,66,620
26981,TC,GD,7,5,0.95044,0.641981,0.29232,11,2,264,0,80,1800
26982,TC,GD,7,15,0.982333,0.471775,0.148259,11,2,35,0,61,300
26983,TC,GD,5,15,0.959776,0.413076,0.161806,6,4,16,16,54,555
26984,TC,GD,3,15,0.804004,0.438918,0.203197,6,2,85,0,69,780
26985,TC,GD,7,10,0.925095,0.528002,0.177502,15,3,18,0,89,2920
26986,TC,GD,7,20,0.80624,0.688074,0.249657,12,4,120,120,54,2220
26987,TC,GD,5,20,0.81864,0.672671,0.102882,9,3,2,0,59,40
26988,TC,GD,5,15,0.823141,0.552891,0.215284,8,2,99,0,64,765
26989,TC,GD,7,10,0.997352,0.42679,0.134241,2,3,5,5,54,60
26990,TC,GD,3,20,0.898923,0.626795,0.197895,11,3,55,0,64,440
26991,TC,GD,7,15,0.933799,0.445785,0.251233,12,2,128,0,66,975
26992,TC,GD,7,5,0.923325,0.480182,0.232202,7,2,92,92,54,1100
26993,TC,GD,5,10,0.996106,0.440074,0.162123,13,2,25,0,60,210
26994,TC,GD,5,10,0.873357,0.597361,0.169068,14,4,24,24,54,1720
26995,TC,GD,7,15,0.957827,0.538751,0.240721,7,2,118,0,66,870
26996,TC,GD,7,20,0.844454,0.537089,0.18291,1,2,54,0,64,520
26997,TC,GD,3,20,0.850038,0.635893,0.164667,6,3,38,38,54,1080
26998,TC,GD,5,20,0.972099,0.583706,0.173519,5,2,57,0,63,520
26999,TC,GD,7,5,0.820059,0.441648,0.24746,14,3,139,139,54,2335
27000,TC,GD,3,10,0.804643,0.52038,0.192195,1,4,53,53,54,110
27001,TC,GD,5,20,0.850387,0.417539,0.10889,13,2,5,0,73,460
27002,TC,GD,5,10,0.856154,0.630431,0.189829,14,3,61,0,96,3640
27003,TC,GD,5,5,0.804989,0.400187,0.135361,12,4,5,5,54,665
27004,TC,GD,5,10,0.822257,0.490029,0.157548,14,3,22,0,62,150
27005,TC,GD,3,20,0.897017,0.550157,0.28189,6,2,192,36,68,2280
