run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
6034,BR,ND,5,20,0.837803,0.479405,0.203857,9,2,200,0,83,11520
6035,BR,ND,7,10,0.872581,0.400418,0.190643,2,2,127,0,65,1280
6036,BR,ND,3,20,0.832984,0.528399,0.273024,11,3,341,0,83,7920
6037,BR,ND,3,5,0.923596,0.634583,0.273878,9,4,320,320,54,720
6038,BR,ND,7,5,0.826027,0.58407,0.132356,12,4,16,0,85,960
6039,BR,ND,7,5,0.814541,0.699791,0.128062,7,4,13,0,75,560
6040,BR,ND,7,5,0.815777,0.53254,0.21501,12,2,183,0,85,3840
6041,BR,ND,7,10,0.956617,0.658045,0.232831,7,2,242,0,77,4480
6042,BR,ND,3,10,0.965467,0.424194,0.234665,10,3,242,242,54,3600
6043,BR,ND,7,15,0.959514,0.697767,0.193861,11,3,120,0,83,5940
6044,BR,ND,7,10,0.811641,0.522815,0.237981,15,4,196,196,54,2400
6045,BR,ND,7,15,0.849075,0.698723,0.202806,7,4,112,112,54,1680
6046,BR,ND,3,20,0.966887,0.528013,0.268813,5,4,287,287,54,1600
6047,BR,ND,3,5,0.978802,0.669881,0.187667,1,3,68,68,54,180
6048,BR,ND,7,20,0.926336,0.547644,0.256894,11,3,317,0,87,7920
6049,BR,ND,7,10,0.917591,0.485574,0.242072,14,4,202,0,87,2240
6050,BR,ND,3,10,0.878329,0.578014,0.297307,15,4,453,453,54,2400
6051,BR,ND,3,20,0.874453,0.461204,0.298445,7,2,513,0,76,8960
6052,BR,ND,7,15,0.836187,0.456159,0.113564,11,3,41,0,84,5940
6053,BR,ND,7,10,0.817096,0.578581,0.191286,15,4,95,0,94,2400
6054,BR,ND,3,10,0.892985,0.674077,0.270078,12,4,323,323,54,1920
6055,BR,ND,3,5,0.967597,0.60127,0.22045,11,4,110,110,54,880
6056,BR,ND,7,5,0.979943,0.414809,0.103505,6,3,14,0,72,1080
6057,BR,ND,7,15,0.825705,0.527536,0.28907,3,3,397,397,54,1620
6058,BR,ND,3,15,0.945459,0.686794,0.285038,5,2,407,0,72,4800
6059,BR,ND,7,5,0.873134,0.431763,0.241986,6,3,247,247,54,1080
6060,BR,ND,3,20,0.911375,0.404657,0.12122,2,3,42,0,66,1440
6061,BR,ND,7,15,0.912429,0.511978,0.280683,5,3,390,0,84,2700
6062,BR,ND,7,20,0.948057,0.679399,0.116873,7,4,34,0,77,2240
6063,BR,ND,3,5,0.945694,0.575495,0.110562,3,4,3,0,63,240
6064,BR,ND,7,5,0.843619,0.531777,0.186251,12,2,74,0,86,3840
